date,open,high,low,close,volume,money
12/13/2013,94.4,94.97,94.4,94.97,30,2849.1
12/16/2013,94.5,94.5,94.5,94.5,60,5670
12/17/2013,94.4,94.97,94.4,94.97,30,2849.1
12/20/2013,96,96.08,94.03,94.03,340,31970.2
12/23/2013,94,94,93.08,93.2,980,91336
12/24/2013,93.26,93.47,93.2,93.33,770,71864.1
12/25/2013,93.79,93.79,93.19,93.24,890,82983.6
12/26/2013,93.21,93.49,93.19,93.25,3040,283480
12/27/2013,93.15,93.34,93.15,93.28,2670,249057.6
12/31/2013,88.8,93.27,88.8,93.27,2060,192136.2
1/2/2014,93.5,93.68,93.48,93.48,30,2804.4
1/3/2014,93.2,93.3,93.03,93.1,730,67963
1/6/2014,93.05,93.05,93,93,460,42780
1/7/2014,93,93,92.95,92.95,2010,186829.5
1/8/2014,92.9,93.01,92.9,93.01,630,58596.3
1/9/2014,93.28,93.29,93.28,93.29,600,55974
1/10/2014,93.99,93.99,92,92.71,15710,1456474.1
1/13/2014,92.73,93.28,92.71,92.71,1920,178003.2
1/14/2014,92.72,93,92.71,93,1000,93000
1/15/2014,92.81,92.81,92.8,92.8,50,4640
1/16/2014,93.9,93.9,93.9,93.9,190,17841
1/21/2014,94.27,94.27,93.99,93.99,160,15038.4
1/22/2014,93.8,94.29,93.3,94.28,10780,1016338.4
1/23/2014,94.25,94.25,94.25,94.25,420,39585
1/28/2014,92.62,95.03,92.62,94.55,2200,208010
2/10/2014,94.94,94.95,94.94,94.95,430,40828.5
2/11/2014,92.6,94.94,92.6,94.94,4100,389254
2/12/2014,95.46,95.46,95.46,95.46,10,954.6
2/13/2014,94.71,95.33,94.71,95.33,490,46711.7
2/14/2014,95.33,95.33,95.33,95.33,20,1906.6
2/17/2014,95.33,95.33,95.33,95.33,1340,127742.2
2/18/2014,94.3,95.94,94.3,95.33,620,59104.6
2/19/2014,95.35,95.35,94.91,94.91,40,3796.4
2/24/2014,94.25,95.1,94.2,95.1,60,5706
2/25/2014,95.93,95.93,95.64,95.7,1420,135894
2/26/2014,95.88,95.88,95.88,95.88,10,958.8
2/27/2014,95.12,95.47,95.12,95.47,500,47735
2/28/2014,95.6,96.09,95.6,96.09,430,41318.7
3/3/2014,96.49,96.5,96.49,96.5,60,5790
3/7/2014,96.49,96.49,95.03,95.17,1090,103735.3
